time,ax,ay,az,atotal
255.53316116333008,7.76,7.29,-8.61,13.69
255.5511450767517,0.65,1.51,2.67,3.13
255.5524480342865,-4.38,8.5,-12.1,15.42
255.56678819656372,0.98,-2.23,-5.41,5.93
255.5677421092987,6.74,-9.28,5.97,12.93
255.5825891494751,2.52,1.9,-1.51,3.49
255.59908390045166,-3.73,-1.37,6.39,7.52
255.60033988952637,-0.53,-1.36,-6.99,7.14
255.61656188964844,3.94,3.18,-2.81,5.79
255.61758303642273,-0.01,1.67,-1.03,1.96
255.63283610343933,-2.21,3.42,12.16,12.82
255.64942407608032,3.56,-5.53,2.12,6.91
255.65070295333862,4.24,3.61,8.66,10.29
255.66662406921387,0.56,-3.12,3.62,4.81
255.66760301589966,2.38,-10.57,-0.71,10.85
255.68229818344116,3.17,10.79,-11.35,15.97
255.69894790649414,-2.28,11.13,-8.92,14.44
255.70021510124207,-4.26,2.23,-4.85,6.82
255.71644592285156,2.79,3.11,0.75,4.24
255.7173991203308,8.01,-8.34,8.78,14.51
255.73252701759338,1.16,3.92,-8.5,9.43
255.74934005737305,-5.66,7.21,18.79,20.9
255.75058007240295,-2.28,3.6,-11.26,12.03
255.76556611061096,7.52,3.11,-30.53,31.59
255.7667841911316,8.08,-16.33,10.17,20.86
255.7824091911316,0.38,2.25,-5.79,6.22
255.79947304725647,-6.07,7.03,22.76,24.58
255.80077409744263,3.26,-10.87,-7.67,13.69
255.81705904006958,6.49,4.69,16.86,18.66
255.81805801391602,-1.24,3.99,3.28,5.31
255.83234214782715,-3.73,-4.11,11.98,13.2
255.84935092926025,2.63,8.47,-22.49,24.17
255.85064506530762,5.5,-3.02,4.12,7.5
255.8664312362671,-1.91,5.92,-16.51,17.64
255.8674349784851,-1.23,9.09,-16.11,18.53
255.8833830356598,-3.33,-19.93,14.34,24.77
255.90161609649658,2.44,3.52,7.61,8.73
255.9029369354248,2.98,1.97,10.74,11.31
255.91690397262573,1.72,-6.73,6.2,9.31
255.91793203353882,-1.81,9.98,-6.89,12.26
255.93320989608765,-3.89,-1.56,-3.73,5.61
255.9509301185608,1.24,-4.33,-11.78,12.61
255.95212697982788,3.4,1.31,-9.34,10.02
255.96650409698486,0.37,-3.32,7.42,8.13
255.9674620628357,1.8,-3.67,24.01,24.35
255.98229694366455,2.26,5.96,0.13,6.37
255.99966621398926,-3.14,11.54,17.35,21.07
256.0008969306946,3.91,-7.66,-10.35,13.45
256.01638007164,7.09,7.71,-27.97,29.86
256.0173602104187,2.82,1.77,-5.44,6.37
256.03203201293945,-2.0,-12.02,4.64,13.03
256.04872012138367,-6.18,-6.41,11.2,14.3
256.0500679016113,2.68,7.7,2.67,8.57
256.0660810470581,2.8,-5.98,1.79,6.84
256.06702709198,2.1,-7.5,-17.36,19.02
256.0822229385376,1.02,3.61,-3.15,4.89
256.0993208885193,3.16,7.46,-3.88,8.98
256.1006021499634,0.76,-2.07,9.47,9.72
256.11718702316284,-0.92,1.56,7.87,8.07
256.118155002594,3.77,0.72,1.45,4.1
256.1323881149292,6.5,-3.35,7.88,10.75
256.14940905570984,4.61,1.22,0.45,4.78
256.1506471633911,-2.19,0.64,-3.83,4.45
256.1658501625061,-4.02,3.99,-8.27,10.02
256.16685605049133,1.65,-7.45,-12.11,14.31
256.1821699142456,2.14,6.03,-2.83,6.99
256.1991150379181,2.31,-10.99,14.63,18.44
256.2003700733185,1.17,-2.33,-1.68,3.1
256.21674704551697,1.28,17.68,3.76,18.12
256.21773195266724,1.11,-16.26,-2.82,16.54
256.23216104507446,0.64,1.04,0.97,1.55
256.2499279975891,-1.67,11.31,-0.6,11.44
256.2512230873108,-1.4,-6.6,3.54,7.61
256.2661862373352,3.67,2.85,-10.08,11.09
256.26716804504395,2.92,7.76,-2.47,8.65
256.2828869819641,2.39,-8.83,2.55,9.49
256.2994830608368,-1.61,14.19,-1.63,14.37
256.30075120925903,-1.2,-2.38,3.07,4.06
256.3169960975647,1.49,-0.42,-12.45,12.54
256.31799602508545,0.67,1.72,-9.29,9.47
256.33308506011963,-1.88,-4.23,7.14,8.5
256.35042095184326,2.92,-6.68,17.78,19.21
256.35163497924805,2.68,1.46,-0.08,3.05
256.3672671318054,-6.36,15.44,2.38,16.86
256.3682851791382,-4.57,1.43,1.68,5.07
256.3822422027588,3.32,-16.09,-2.93,16.68
256.3993411064148,4.01,0.87,-9.46,10.31
256.40059208869934,-7.13,16.38,-12.51,21.8
256.4164719581604,-2.31,-10.03,2.8,10.66
256.4174361228943,-3.14,-5.18,-0.51,6.07
256.43267917633057,5.69,8.5,4.78,11.29
256.44989013671875,7.56,-6.02,12.93,16.14
256.45116996765137,4.29,7.48,-15.33,17.58
256.4669542312622,-4.76,7.0,4.0,9.36
256.4679169654846,-0.19,-9.59,14.43,17.32
256.4824209213257,5.51,4.2,-11.75,13.64
256.4990210533142,-0.6,-2.23,-1.92,3.0
256.5002360343933,-1.28,-3.94,3.07,5.15
256.51710319519043,-0.55,1.95,-16.33,16.45
256.51809310913086,4.8,-4.38,7.48,9.9
256.5349600315094,2.23,-5.34,5.07,7.69
256.5528039932251,-2.12,8.51,8.29,12.06
256.5540690422058,-3.96,1.13,8.57,9.5
256.566908121109,-0.93,3.24,-3.3,4.71
256.56786918640137,0.18,0.91,-5.59,5.66
256.5821180343628,-0.36,-5.97,-19.31,20.21
256.59863805770874,-0.85,13.39,-7.84,15.53
256.5999069213867,3.09,-11.48,16.5,20.33
256.617271900177,8.17,-6.12,-1.16,10.27
256.618283033371,1.34,15.82,-0.36,15.88
256.6329321861267,-5.64,-5.6,6.65,10.36
256.6502730846405,-2.08,-1.49,-3.65,4.45
256.65155005455017,3.45,2.13,-1.96,4.5
256.66707706451416,0.09,0.83,-6.87,6.92
256.66805124282837,-3.65,-0.82,2.31,4.39
256.6821961402893,1.87,-12.11,8.36,14.83
256.6987841129303,3.05,10.07,-11.12,15.3
256.6999912261963,-1.93,1.57,17.88,18.05
256.7168710231781,-0.67,-9.16,5.22,10.56
256.71779918670654,3.47,12.08,-12.31,17.59
256.73215198516846,0.25,0.66,-3.24,3.31
256.7491021156311,-1.79,-6.36,-12.5,14.13
256.75035309791565,-1.25,5.51,-7.65,9.51
256.7673590183258,0.83,-5.88,5.33,7.97
256.76835107803345,1.48,-6.87,17.48,18.83
256.78260803222656,0.81,3.91,5.74,6.99
256.799907207489,-3.74,8.92,1.91,9.85
256.80114006996155,-2.18,-0.28,3.32,3.98
256.81702303886414,2.8,-8.49,-4.67,10.08
256.8179669380188,3.4,8.67,-18.83,21.0
256.83265590667725,-0.32,-2.73,3.21,4.22
256.8495590686798,-2.85,-0.03,-9.6,10.01
256.8508529663086,-0.95,-5.44,3.09,6.32
256.86740708351135,-0.28,-0.15,-0.98,1.03
256.8684968948364,3.81,7.92,12.39,15.19
256.88308811187744,-0.17,6.16,-5.08,7.98
256.9002351760864,-2.6,6.11,1.33,6.77
256.9015622138977,-1.33,-0.99,-5.65,5.88
256.9175429344177,4.06,-5.96,-4.12,8.3
256.91853308677673,4.41,-8.27,1.37,9.47
256.9325761795044,-1.08,4.37,14.66,15.33
256.9492301940918,-4.46,5.66,0.89,7.26
256.9505019187927,-1.59,-3.24,-4.88,6.06
256.9673550128937,2.6,0.98,-3.63,4.57
256.9683430194855,2.96,8.09,-11.99,14.76
256.98304891586304,-0.72,-2.65,-7.9,8.36
257.0004041194916,-2.4,0.44,7.18,7.58
257.00166416168213,1.09,-5.03,9.12,10.47
257.01726722717285,1.21,-2.02,3.43,4.16
257.0182421207428,-1.74,8.84,1.67,9.16
257.03328800201416,-2.81,-3.98,-7.46,8.91
257.05036211013794,2.64,0.57,-4.03,4.85
257.051616191864,5.26,-4.72,-2.39,7.46
257.0672791004181,1.11,-2.34,-0.55,2.64
257.0682270526886,-4.19,4.96,4.56,7.93
257.0832362174988,-0.63,-2.55,3.25,4.17
257.1001591682434,4.27,0.67,-1.68,4.63
257.10141706466675,1.62,-3.97,-12.65,13.35
257.11717891693115,-4.56,0.97,7.14,8.52
257.118173122406,-2.19,3.68,-3.5,5.53
257.1330590248108,1.52,6.07,-2.28,6.65
257.14994406700134,0.33,-7.37,7.59,10.58
257.15122413635254,1.04,-3.89,2.46,4.71
257.167356967926,1.63,2.63,-6.41,7.11
257.1683421134949,0.82,-0.65,5.53,5.62
257.18318605422974,0.32,-0.85,-4.82,4.9
257.19998121261597,1.49,6.45,1.06,6.7
257.20131611824036,1.03,-4.33,-0.53,4.48
257.2166061401367,0.56,0.99,3.14,3.33
257.2177929878235,0.33,1.72,-2.98,3.45
257.2326350212097,1.68,-2.97,8.79,9.42
257.24974393844604,1.65,-0.28,0.82,1.86
257.25104808807373,1.1,3.33,-4.3,5.54
257.26815605163574,2.85,-2.71,-0.57,3.97
257.26925110816956,2.33,6.77,-8.27,10.93
257.2835690975189,-0.98,-2.07,-7.36,7.7
257.30050897598267,-0.88,-12.57,0.81,12.62
257.30177307128906,0.95,1.77,15.46,15.58
257.3170599937439,2.29,-10.75,7.7,13.42
257.31798124313354,-0.67,9.28,0.26,9.3
257.3336880207062,-2.62,4.4,10.82,11.97
257.350368976593,1.65,-2.11,-14.67,14.91
257.3516411781311,4.26,5.61,-15.23,16.78
257.3679130077362,2.79,-3.63,-4.81,6.64
257.3689000606537,-0.7,0.59,-1.55,1.8
257.383917093277,0.86,-11.41,12.86,17.21
257.4009311199188,1.0,4.98,2.4,5.61
257.40217208862305,-2.31,2.26,7.93,8.56
257.41724920272827,-1.42,1.35,0.47,2.01
257.41821098327637,2.46,2.19,-8.66,9.26
257.4331932067871,1.23,1.83,-10.51,10.73
257.449912071228,-1.12,-1.18,-1.03,1.92
257.4512050151825,-1.64,5.83,-6.55,8.92
257.4667971134186,-0.96,-10.78,19.83,22.59
257.4678611755371,0.17,1.83,-9.08,9.26
257.4835910797119,-1.7,5.73,14.97,16.11
257.50082206726074,-1.32,-0.1,-11.06,11.13
257.50201320648193,0.78,9.23,-6.53,11.33
257.5194659233093,2.36,-8.03,-0.95,8.42
257.5204691886902,1.01,1.11,-7.63,7.77
257.5338649749756,-1.9,-2.81,6.83,7.62
257.5507321357727,0.71,-1.52,13.18,13.28
257.5520260334015,1.24,7.59,-3.11,8.29
257.5665340423584,0.01,-8.99,-0.38,8.99
257.5676951408386,3.03,0.7,-8.39,8.94
257.5831789970398,2.32,7.5,-3.9,8.76
257.59988594055176,-0.35,-0.04,0.31,0.46
257.6011860370636,-0.6,-0.55,1.74,1.92
257.61789989471436,0.03,-6.24,1.41,6.39
257.6188931465149,-0.56,-5.72,3.06,6.51
257.63349509239197,-0.8,7.17,7.44,10.36
257.6505470275879,-2.87,2.15,-5.37,6.45
257.65188121795654,0.22,0.39,-3.25,3.28
257.6669030189514,3.32,-3.3,-4.84,6.73
257.66787004470825,0.83,4.07,-5.94,7.24
257.6838221549988,-0.73,3.22,13.27,13.67
257.70066499710083,5.52,-7.12,1.03,9.06
257.7019100189209,2.4,7.69,-1.7,8.23
257.71708393096924,-4.84,-2.24,5.21,7.45
257.71806621551514,-4.04,4.46,-6.28,8.69
257.73309206962585,3.75,1.24,3.37,5.19
257.7498941421509,2.51,0.11,-9.99,10.3
257.7511820793152,-1.83,-7.27,-5.75,9.44
257.7668151855469,-5.08,5.78,1.33,7.8
257.7677800655365,-0.48,0.03,10.23,10.24
257.7837641239166,-0.44,-14.76,-2.03,14.9
257.80138206481934,-1.29,12.39,6.53,14.06
257.8026371002197,-1.99,-6.65,-1.89,7.19
257.8178141117096,2.88,2.68,-0.74,4.0
257.8187789916992,2.91,8.11,-5.1,10.01
257.8334081172943,-1.01,-1.46,-8.69,8.86
257.8504672050476,-3.35,-0.74,-3.19,4.68
257.8516569137573,2.96,-6.71,3.81,8.26
257.8670771121979,5.02,-0.46,3.47,6.11
257.86803817749023,-1.17,8.79,7.28,11.47
257.88409519195557,-1.95,-12.89,8.03,15.31
257.90134620666504,2.92,4.39,-7.84,9.44
257.90255308151245,0.09,0.3,-6.29,6.29
257.9186840057373,-1.85,-5.68,10.03,11.67
257.91986989974976,-0.1,4.13,-8.34,9.3
257.9340281486511,-0.33,6.11,-1.84,6.38
257.9512960910797,-0.32,-1.72,8.67,8.84
257.95250701904297,3.16,0.03,-10.56,11.02
257.9682059288025,-0.54,9.8,-12.9,16.2
257.96920704841614,-1.08,-10.77,15.38,18.8
257.98397397994995,1.67,-4.18,2.53,5.16
258.00108098983765,1.18,6.02,1.1,6.23
258.0024571418762,-4.38,-5.82,9.48,11.95
258.0172309875488,-2.11,6.49,-2.68,7.33
258.0182719230652,2.69,8.19,-17.51,19.51
258.0330619812012,3.97,-11.31,1.34,12.06
